"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCRETT01","Relative consumer price indices","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2010_100","2010=100",94.29472,,
"CCRETT01","Relative consumer price indices","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2010_100","2010=100",100.051,,
"CCRETT01","Relative consumer price indices","AUS","Australia","A","Annual","2022","2022","IDX","Index","0","Units","2010_100","2010=100",100.3773,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2010_100","2010=100",91.06085,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2010_100","2010=100",90.97588,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2010_100","2010=100",97.42637,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2010_100","2010=100",97.71579,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2010_100","2010=100",101.657,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2010_100","2010=100",101.8128,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2010_100","2010=100",98.36488,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2010_100","2010=100",98.36938,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2010_100","2010=100",98.67625,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2010_100","2010=100",101.5828,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2010_100","2010=100",101.365,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2022-Q4","Q4-2022","IDX","Index","0","Units","2010_100","2010=100",99.88511,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2023-Q1","Q1-2023","IDX","Index","0","Units","2010_100","2010=100",101.0169,,
"CCRETT01","Relative consumer price indices","AUS","Australia","Q","Quarterly","2023-Q2","Q2-2023","IDX","Index","0","Units","2010_100","2010=100",100.1951,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",93.99278,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",92.17739,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",87.01238,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",87.69476,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2010_100","2010=100",90.73853,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2010_100","2010=100",94.49434,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2010_100","2010=100",96.9593,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2010_100","2010=100",97.65459,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",97.6652,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2010_100","2010=100",96.54147,,
