,Country,Frequency,Time,interest_rate,type_interest,liquidity,liquidity_type,usd_rate,CPI,Share Price Index
0,Australia,Annual,2020,0.9208333,Long,181.7957,Narrow Money (M1),1.453532,94.29472,111.1882
1,Australia,Annual,2020,0.9208333,Long,129.7492,Broad Money (M3),1.453532,94.29472,111.1882
2,Australia,Annual,2020,0.2566667,Short,181.7957,Narrow Money (M1),1.453532,94.29472,111.1882
3,Australia,Annual,2020,0.2566667,Short,129.7492,Broad Money (M3),1.453532,94.29472,111.1882
4,Australia,Annual,2020,0.1,Intermediate,181.7957,Narrow Money (M1),1.453532,94.29472,111.1882
5,Australia,Annual,2020,0.1,Intermediate,129.7492,Broad Money (M3),1.453532,94.29472,111.1882
6,Australia,Annual,2021,1.48,Long,218.1755,Narrow Money (M1),1.331484,100.051,130.4751
7,Australia,Annual,2021,1.48,Long,141.2506,Broad Money (M3),1.331484,100.051,130.4751
8,Australia,Annual,2021,0.02833333,Short,218.1755,Narrow Money (M1),1.331484,100.051,130.4751
9,Australia,Annual,2021,0.02833333,Short,141.2506,Broad Money (M3),1.331484,100.051,130.4751
10,Australia,Annual,2021,0.1,Intermediate,218.1755,Narrow Money (M1),1.331484,100.051,130.4751
11,Australia,Annual,2021,0.1,Intermediate,141.2506,Broad Money (M3),1.331484,100.051,130.4751
12,Australia,Annual,2022,3.200833,Long,242.9206,Narrow Money (M1),1.441797,100.3773,128.3665
13,Australia,Annual,2022,3.200833,Long,153.4453,Broad Money (M3),1.441797,100.3773,128.3665
14,Australia,Annual,2022,1.636667,Short,242.9206,Narrow Money (M1),1.441797,100.3773,128.3665
15,Australia,Annual,2022,1.636667,Short,153.4453,Broad Money (M3),1.441797,100.3773,128.3665
16,Australia,Annual,2022,3.05,Intermediate,242.9206,Narrow Money (M1),1.441797,100.3773,128.3665
17,Australia,Annual,2022,3.05,Intermediate,153.4453,Broad Money (M3),1.441797,100.3773,128.3665
18,Australia,Quarterly,Q1-2020,1.006667,Long,161.8155,Narrow Money (M1),1.520858,91.06085,117.4883
19,Australia,Quarterly,Q1-2020,1.006667,Long,122.2947,Broad Money (M3),1.520858,91.06085,117.4883
